symbol,side,entry,exit,pnl,reason,time
LINK/USDT,SHORT,13.4435,13.541118259645884,-13.392181616170424,STOP_LOSS,2024-07-29 00:15:00
TIA/USDT,SHORT,5.7124500000000005,5.619268841430531,7.032707059329601,TP1_80%,2024-07-29 21:15:00
TIA/USDT,SHORT,5.7124500000000005,5.7124500000000005,-0.2576846399516071,BE_STOP,2024-07-30 06:30:00
FET/USDT,SHORT,1.2101,1.1908277686639865,7.031702425436277,TP1_80%,2024-07-31 04:15:00
FET/USDT,SHORT,1.2101,1.2101,-0.2521756268284982,BE_STOP,2024-07-31 06:00:00
XRP/USDT,LONG,0.62735,0.6357979726075732,10.28025945892849,TP1_80%,2024-07-31 18:15:00
XRP/USDT,LONG,0.62735,0.62735,-0.448815461700521,BE_STOP,2024-07-31 20:00:00
OP/USDT,SHORT,1.5927,1.5699108683269911,8.71574601924944,TP1_80%,2024-08-01 14:00:00
OP/USDT,SHORT,1.5927,1.5262316992870573,1.7582618701802122,TP2_5%,2024-08-01 15:00:00
OP/USDT,SHORT,1.5927,1.5699108683269911,1.6209407610545665,BE_STOP,2024-08-01 22:45:00
NEAR/USDT,SHORT,5.093,4.999253594813064,10.890687553445165,TP1_80%,2024-08-01 22:45:00
OP/USDT,SHORT,1.5927,1.5649417135983854,10.880107601978727,TP1_80%,2024-08-01 23:30:00
APT/USDT,SHORT,6.4015,6.3048068691779715,7.067188896041857,TP1_80%,2024-08-02 02:15:00
INJ/USDT,SHORT,21.606,21.154200994959993,7.36631698726187,TP1_80%,2024-08-02 02:30:00
NEAR/USDT,SHORT,5.093,4.819572984871436,2.1441355573720227,TP2_5%,2024-08-02 05:45:00
OP/USDT,SHORT,1.5927,1.5117383313286243,2.152115966965905,TP2_5%,2024-08-02 06:15:00
OP/USDT,SHORT,1.5927,1.5649417135983854,2.0268126347779956,BE_STOP,2024-08-02 13:30:00
INJ/USDT,SHORT,21.606,21.606,-0.21400452423845917,BE_STOP,2024-08-02 13:45:00
NEAR/USDT,SHORT,5.093,4.999253594813064,2.029571866279863,BE_STOP,2024-08-02 13:45:00
APT/USDT,SHORT,6.4015,6.119478368435749,1.4106110730997181,TP2_5%,2024-08-02 15:15:00
APT/USDT,SHORT,6.4015,5.8374567368714985,8.675765065955229,TP3_FULL,2024-08-03 01:00:00
INJ/USDT,SHORT,20.3385,19.7408386186866,31.166201685532133,TP1_80%,2024-08-03 08:00:00
INJ/USDT,SHORT,20.3385,18.595320971169247,5.946598261359123,TP2_5%,2024-08-03 16:15:00
XRP/USDT,SHORT,0.55975,0.5481986829630385,30.71763187197097,TP1_80%,2024-08-04 07:45:00
XRP/USDT,SHORT,0.55975,0.5260586586421956,5.9837335109865215,TP2_5%,2024-08-04 15:00:00
BCH/USDT,SHORT,361.28999999999996,356.0012495834676,37.22029982142754,TP1_80%,2024-08-04 15:00:00
BCH/USDT,SHORT,361.28999999999996,345.8644779517806,7.489704515573812,TP2_5%,2024-08-04 16:15:00
INJ/USDT,SHORT,20.3385,16.852141942338495,36.06326836113961,TP3_FULL,2024-08-04 17:30:00
INJ/USDT,SHORT,18.432000000000002,18.022876704932862,81.48164284732385,TP1_80%,2024-08-04 23:15:00
BCH/USDT,SHORT,361.28999999999996,330.4389559035613,45.98616569054764,TP3_FULL,2024-08-05 00:00:00
